page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0050	SW105	043	Clapham Junction to Weymouth BML2 Wessex	10/02/07	Holton Heath Ground Frame	118	28	OOU	118.28
0051	SW105	044	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Admiralty Crossing	118	57		118.57
0051	SW105	044	Clapham Junction to Weymouth BML2 Wessex	02/12/06	HOLTON HEATH	118	61		118.61
0051	SW105	044	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Keysworth Crossing	119	46		119.46
0051	SW105	044	Clapham Junction to Weymouth BML2 Wessex	02/12/06		120	60		120.60
0051	SW105	044	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Wareham SB (WR)	120	60	X	120.60
0051	SW105	044	Clapham Junction to Weymouth BML2 Wessex	02/12/06	WAREHAM	120	70		120.70
0051	SW105	044	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Footpath LC (RC CD)	120	70	X	120.70
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06		121	76	*	121.76
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Worgret Jn GF	121	77		121.77
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06		122	38	*	122.38
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Holme (No 31) LC	122	78	AHBC	122.78
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Rushton No 2 LC	123	58	RIG	123.58
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Stoke LG	124	12		124.12
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Hethfelton No 1 Crossing	124	73		124.73
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Hethfelton No 2 Crossing	125	09		125.09
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Bindon No 1 Crossing	125	23		125.23
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Colemans UWC	125	32		125.32
0052	SW105	045	Clapham Junction to Weymouth BML2 FUR Wessex	02/12/06	Bindon No 2 Crossing	125	35		125.35
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	WOOL	125	69		125.69
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Wool (W0) SB	125	69		125.69
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Wool Footpath UWC	126	03		126.03
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Wool West UWC	126	25		126.25
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Darkies UWO	126	40		126.40
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	East Burton LC	126	56	CCTV	126.56
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Burton Common UWC	127	03		127.03
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Hyford UWC	127	54		127.54
0053	SW105	046	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Winfrith UWC	127	65		127.65
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06		130	00	*	130.00
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06		130	20	*	130.20
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Moreton LC	130	21	AHBC	130.21
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06	MORETON	130	24		130.24
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06		130	40	*	130.40
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06		130	61	*	130.61
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Woodsford (No 37) LC	131	17	AHBC	131.17
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Higher Barn UWC	131	57		131.57
0054	SW105	047	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Woodsford (No 38) LC (AHBC)	131	77	*	131.77
